datetime,value
2026-02-23T00:06:43,270
2026-02-23T00:16:39,270
2026-02-23T00:26:36,270
2026-02-23T00:36:33,270
2026-02-23T00:46:31,270
2026-02-23T00:56:28,135
2026-02-23T01:06:25,270
2026-02-23T01:16:22,270
2026-02-23T01:26:18,270
2026-02-23T01:36:16,270
2026-02-23T01:46:13,225
2026-02-23T01:56:10,270
2026-02-23T02:06:07,270
2026-02-23T02:16:04,270
2026-02-23T02:26:01,270
2026-02-23T02:35:58,270
2026-02-23T02:45:55,315
2026-02-23T02:55:52,315
2026-02-23T03:05:49,315
2026-02-23T03:15:46,315
2026-02-23T03:25:43,270
2026-02-23T03:35:40,315
2026-02-23T03:45:36,315
2026-02-23T03:55:33,315
2026-02-23T04:05:30,315
2026-02-23T04:15:27,315
2026-02-23T04:25:24,315
2026-02-23T04:35:21,225
2026-02-23T04:45:19,270
2026-02-23T04:55:16,135
2026-02-23T05:05:12,112.5
2026-02-23T05:15:09,135
2026-02-23T05:25:06,135
2026-02-23T05:35:04,135
2026-02-23T05:45:01,135
2026-02-23T05:54:57,135
2026-02-23T06:04:55,270
2026-02-23T06:14:52,270
2026-02-23T06:24:49,90
2026-02-23T06:34:46,135
2026-02-23T06:44:43,135
2026-02-23T06:54:40,270
2026-02-23T07:04:37,315
2026-02-23T07:14:35,315
2026-02-23T07:24:32,315
2026-02-23T07:34:29,315
2026-02-23T07:44:26,315
2026-02-23T07:54:24,90
2026-02-23T08:04:22,270
2026-02-23T08:14:18,135
2026-02-23T08:24:16,90
2026-02-23T08:34:14,90
2026-02-23T08:44:11,315
2026-02-23T08:54:08,180
2026-02-23T09:04:05,112.5
2026-02-23T09:14:02,90
2026-02-23T09:24:00,270
2026-02-23T09:33:57,90
2026-02-23T09:53:53,180
2026-02-23T10:03:49,90
2026-02-23T10:13:47,90
2026-02-23T10:23:44,315
2026-02-23T10:33:41,90
2026-02-23T10:43:38,90
2026-02-23T10:53:35,45
2026-02-23T11:03:33,45
2026-02-23T11:13:33,90
2026-02-23T11:23:28,135
2026-02-23T11:33:24,90
2026-02-23T11:43:22,270
2026-02-23T11:53:19,270
2026-02-23T12:03:16,135
2026-02-23T12:13:13,135
2026-02-23T12:23:10,135
2026-02-23T12:33:08,270
2026-02-23T12:43:06,270
2026-02-23T12:53:03,270
2026-02-23T13:03:01,0
2026-02-23T13:12:58,292.5
2026-02-23T13:22:55,315
2026-02-23T13:32:52,270
2026-02-23T13:42:49,270
2026-02-23T13:52:47,315
2026-02-23T14:02:44,270
2026-02-23T14:12:41,270
2026-02-23T14:22:37,270
2026-02-23T14:32:34,270
2026-02-23T14:42:31,135
2026-02-23T14:52:28,315
2026-02-23T15:02:25,270
2026-02-23T15:12:22,135
2026-02-23T15:22:19,225
