datetime,value
2026-02-23T00:06:43,1.22
2026-02-23T00:16:39,1.18
2026-02-23T00:26:36,1.06
2026-02-23T00:36:33,1.14
2026-02-23T00:46:31,0
2026-02-23T00:56:28,1.05
2026-02-23T01:06:24,1.44
2026-02-23T01:16:22,0
2026-02-23T01:26:18,0.94
2026-02-23T01:36:16,0.64
2026-02-23T01:46:13,0
2026-02-23T01:56:10,0
2026-02-23T02:06:07,0
2026-02-23T02:16:04,0
2026-02-23T02:26:01,0
2026-02-23T02:35:58,0
2026-02-23T02:45:55,0
2026-02-23T02:55:52,0
2026-02-23T03:05:49,0
2026-02-23T03:15:46,1.55
2026-02-23T03:25:43,0.86
2026-02-23T03:35:40,1.99
2026-02-23T03:45:36,2.13
2026-02-23T03:55:33,0
2026-02-23T04:05:30,0
2026-02-23T04:15:27,0.48
2026-02-23T04:25:24,0
2026-02-23T04:35:21,0
2026-02-23T04:45:19,0
2026-02-23T04:55:16,0
2026-02-23T05:05:12,1.23
2026-02-23T05:15:09,0
2026-02-23T05:25:06,0.9
2026-02-23T05:35:04,0
2026-02-23T05:45:00,0
2026-02-23T05:54:57,0
2026-02-23T06:04:55,0
2026-02-23T06:14:52,0.7
2026-02-23T06:24:49,1.82
2026-02-23T06:34:45,0
2026-02-23T06:44:43,0
2026-02-23T06:54:40,0
2026-02-23T07:04:37,0
2026-02-23T07:14:34,0
2026-02-23T07:24:32,1.59
2026-02-23T07:34:29,0
2026-02-23T07:44:26,0
2026-02-23T07:54:24,0
2026-02-23T08:04:22,1.89
2026-02-23T08:14:18,0
2026-02-23T08:24:16,1.27
2026-02-23T08:34:14,0.51
2026-02-23T08:44:11,2.89
2026-02-23T08:54:08,0
2026-02-23T09:04:05,1.41
2026-02-23T09:14:02,1.7
2026-02-23T09:24:00,3.06
2026-02-23T09:33:57,1.19
2026-02-23T09:53:53,1.04
2026-02-23T10:03:49,1.82
2026-02-23T10:13:47,1.56
2026-02-23T10:23:44,0.67
2026-02-23T10:33:41,1.71
2026-02-23T10:43:38,0
2026-02-23T10:53:35,2.5
2026-02-23T11:03:33,1.8
2026-02-23T11:13:33,5.21
2026-02-23T11:23:28,1.69
2026-02-23T11:33:24,3.06
2026-02-23T11:43:22,4.57
2026-02-23T11:53:19,6.11
2026-02-23T12:03:16,1.24
2026-02-23T12:13:13,2.37
2026-02-23T12:23:10,5.1
2026-02-23T12:33:08,3.7
2026-02-23T12:43:06,6.64
2026-02-23T12:53:03,8.71
2026-02-23T13:03:01,4.72
2026-02-23T13:12:58,6.05
2026-02-23T13:22:54,7.51
2026-02-23T13:32:52,4.13
2026-02-23T13:42:49,10.41
2026-02-23T13:52:47,5.74
2026-02-23T14:02:44,6.74
2026-02-23T14:12:40,6.32
2026-02-23T14:22:37,7.19
2026-02-23T14:32:34,9.07
2026-02-23T14:42:31,2.58
2026-02-23T14:52:28,2.34
2026-02-23T15:02:25,5.97
2026-02-23T15:12:22,1.18
2026-02-23T15:22:18,4.75
