datetime,value
2026-02-23T00:09:40,69
2026-02-23T00:19:37,68
2026-02-23T00:29:34,68
2026-02-23T00:39:31,69
2026-02-23T00:49:28,74
2026-02-23T00:59:25,72
2026-02-23T01:09:22,77
2026-02-23T01:19:19,75
2026-02-23T01:29:16,72
2026-02-23T01:39:13,74
2026-02-23T01:49:10,67
2026-02-23T01:59:07,64
2026-02-23T02:09:04,76
2026-02-23T02:19:01,66
2026-02-23T02:28:58,73
2026-02-23T02:38:55,69
2026-02-23T02:48:52,74
2026-02-23T02:58:49,67
2026-02-23T03:08:46,67
2026-02-23T03:18:44,63
2026-02-23T03:28:41,63
2026-02-23T03:38:37,60
2026-02-23T03:48:35,58
2026-02-23T03:58:31,53
2026-02-23T04:08:29,46
2026-02-23T04:18:25,49
2026-02-23T04:28:22,57
2026-02-23T04:38:19,54
2026-02-23T04:48:16,58
2026-02-23T04:58:13,52
2026-02-23T05:08:10,52
2026-02-23T05:18:07,80
2026-02-23T05:28:04,54
2026-02-23T05:38:01,58
2026-02-23T05:47:57,54
2026-02-23T05:57:55,60
2026-02-23T06:07:52,59
2026-02-23T06:17:49,58
2026-02-23T06:27:46,58
2026-02-23T06:37:43,59
2026-02-23T06:47:39,62
2026-02-23T06:57:37,166
2026-02-23T07:07:34,61
2026-02-23T07:17:32,56
2026-02-23T07:27:30,61
2026-02-23T07:37:28,362
2026-02-23T07:47:25,195
2026-02-23T07:57:23,73
2026-02-23T08:07:21,140
2026-02-23T08:17:18,235
2026-02-23T08:27:16,468
2026-02-23T08:37:14,93
2026-02-23T08:47:11,114
2026-02-23T08:57:08,80
2026-02-23T09:07:05,90
2026-02-23T09:17:03,77
2026-02-23T09:27:00,93
2026-02-23T09:36:56,84
2026-02-23T09:46:54,97
2026-02-23T09:56:51,76
2026-02-23T10:06:48,85
2026-02-23T10:16:46,117
2026-02-23T10:26:43,84
2026-02-23T10:36:42,84
2026-02-23T10:46:40,77
2026-02-23T10:56:37,76
2026-02-23T11:06:33,79
2026-02-23T11:16:31,77
2026-02-23T11:26:28,77
2026-02-23T11:36:24,76
2026-02-23T11:46:21,76
2026-02-23T11:56:18,74
2026-02-23T12:06:16,70
2026-02-23T12:16:13,72
2026-02-23T12:26:09,73
2026-02-23T12:36:06,70
2026-02-23T12:46:04,67
2026-02-23T12:56:01,72
2026-02-23T13:05:58,74
2026-02-23T13:15:55,81
2026-02-23T13:25:52,76
2026-02-23T13:35:49,72
2026-02-23T13:45:47,72
2026-02-23T13:55:44,70
2026-02-23T14:05:41,72
2026-02-23T14:15:38,72
2026-02-23T14:25:35,70
2026-02-23T14:35:32,71
2026-02-23T14:45:27,72
2026-02-23T14:55:25,69
2026-02-23T15:05:21,70
2026-02-23T15:15:16,67
2026-02-23T15:25:12,68
