datetime,value
2026-02-23T00:09:40,60
2026-02-23T00:19:37,56
2026-02-23T00:29:34,54
2026-02-23T00:39:31,57
2026-02-23T00:49:28,66
2026-02-23T00:59:25,60
2026-02-23T01:09:22,72
2026-02-23T01:19:19,66
2026-02-23T01:29:16,54
2026-02-23T01:39:13,66
2026-02-23T01:49:10,56
2026-02-23T01:59:07,52
2026-02-23T02:09:04,67
2026-02-23T02:19:01,53
2026-02-23T02:28:58,62
2026-02-23T02:38:55,54
2026-02-23T02:48:52,67
2026-02-23T02:58:49,53
2026-02-23T03:08:46,53
2026-02-23T03:18:44,50
2026-02-23T03:28:41,51
2026-02-23T03:38:37,48
2026-02-23T03:48:35,47
2026-02-23T03:58:31,44
2026-02-23T04:08:29,39
2026-02-23T04:18:25,42
2026-02-23T04:28:22,44
2026-02-23T04:38:19,45
2026-02-23T04:48:16,47
2026-02-23T04:58:13,44
2026-02-23T05:08:10,44
2026-02-23T05:18:07,74
2026-02-23T05:28:04,44
2026-02-23T05:38:01,48
2026-02-23T05:47:57,45
2026-02-23T05:57:55,48
2026-02-23T06:07:52,46
2026-02-23T06:17:49,48
2026-02-23T06:27:45,47
2026-02-23T06:37:42,47
2026-02-23T06:47:39,50
2026-02-23T06:57:37,148
2026-02-23T07:07:34,48
2026-02-23T07:17:32,47
2026-02-23T07:27:30,49
2026-02-23T07:37:28,318
2026-02-23T07:47:25,182
2026-02-23T07:57:23,64
2026-02-23T08:07:21,126
2026-02-23T08:17:18,216
2026-02-23T08:27:16,388
2026-02-23T08:37:14,87
2026-02-23T08:47:11,102
2026-02-23T08:57:08,76
2026-02-23T09:07:05,87
2026-02-23T09:17:03,74
2026-02-23T09:27:00,87
2026-02-23T09:36:56,82
2026-02-23T09:46:54,93
2026-02-23T09:56:51,72
2026-02-23T10:06:48,82
2026-02-23T10:16:46,111
2026-02-23T10:26:43,81
2026-02-23T10:36:42,82
2026-02-23T10:46:40,74
2026-02-23T10:56:36,70
2026-02-23T11:06:33,76
2026-02-23T11:16:30,74
2026-02-23T11:26:28,74
2026-02-23T11:36:24,72
2026-02-23T11:46:21,72
2026-02-23T11:56:18,67
2026-02-23T12:06:15,60
2026-02-23T12:16:12,63
2026-02-23T12:26:08,66
2026-02-23T12:36:06,62
2026-02-23T12:46:03,54
2026-02-23T12:56:01,58
2026-02-23T13:05:58,67
2026-02-23T13:15:55,79
2026-02-23T13:25:52,70
2026-02-23T13:35:49,63
2026-02-23T13:45:47,62
2026-02-23T13:55:44,62
2026-02-23T14:05:41,64
2026-02-23T14:15:38,64
2026-02-23T14:25:34,60
2026-02-23T14:35:31,62
2026-02-23T14:45:26,62
2026-02-23T14:55:25,58
2026-02-23T15:05:21,61
2026-02-23T15:15:16,54
2026-02-23T15:25:12,57
